calasanzPFE,pg_catalog,pg_stats_ext,TABLE,13,double precision,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,float8,,,,,a13
calasanzPFE,pg_catalog,pg_available_extension_versions,TABLE,7,name,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,name,,,,,a7
calasanzPFE,pg_catalog,pg_prepared_statements,TABLE,4,regtype,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,regtype,,,,,a4
calasanzPFE,pg_catalog,pg_settings,TABLE,12,text,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a12
calasanzPFE,pg_catalog,pg_hba_file_rules,TABLE,3,text,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a3
calasanzPFE,pg_catalog,pg_hba_file_rules,TABLE,4,text,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a4
calasanzPFE,pg_catalog,pg_hba_file_rules,TABLE,8,text,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a8
calasanzPFE,pg_catalog,pg_user_mappings,TABLE,6,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a6
calasanzPFE,pg_catalog,pg_subscription,TABLE,9,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a9
calasanzPFE,information_schema,_pg_foreign_table_columns,TABLE,4,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a4
calasanzPFE,information_schema,_pg_foreign_data_wrappers,TABLE,3,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a3
calasanzPFE,information_schema,_pg_foreign_servers,TABLE,2,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a2
calasanzPFE,information_schema,_pg_foreign_tables,TABLE,4,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a4
calasanzPFE,information_schema,_pg_user_mappings,TABLE,2,text,,,,,,calasanzPFE,pg_catalog,C,,,,,,,,calasanzPFE,pg_catalog,text,,,,,a2
calasanzPFE,pg_catalog,int2vectorout_41,ROUTINE,1,smallint,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,int2,,,,,a1
calasanzPFE,pg_catalog,oidvectorout_55,ROUTINE,1,oid,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,oid,,,,,a1
calasanzPFE,pg_catalog,float4_accum_208,ROUTINE,1,double precision,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,float8,,,,,a1
calasanzPFE,pg_catalog,float8_accum_222,ROUTINE,1,double precision,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,float8,,,,,a1
calasanzPFE,pg_catalog,float8_combine_276,ROUTINE,1,double precision,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,float8,,,,,a1
calasanzPFE,pg_catalog,float8_combine_276,ROUTINE,2,double precision,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,float8,,,,,a2
calasanzPFE,pg_catalog,btoidvectorcmp_404,ROUTINE,1,oid,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,oid,,,,,a1
calasanzPFE,pg_catalog,btoidvectorcmp_404,ROUTINE,2,oid,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,oid,,,,,a2
calasanzPFE,pg_catalog,hashoidvector_457,ROUTINE,1,oid,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,oid,,,,,a1
calasanzPFE,pg_catalog,hashoidvectorextended_776,ROUTINE,1,oid,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,oid,,,,,a1
calasanzPFE,pg_catalog,oidvectorne_619,ROUTINE,1,oid,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,oid,,,,,a1
calasanzPFE,pg_catalog,oidvectorne_619,ROUTINE,2,oid,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,oid,,,,,a2
calasanzPFE,pg_catalog,oidvectorlt_677,ROUTINE,1,oid,,,,,,,,,,,,,,,,calasanzPFE,pg_catalog,oid,,,,,a1
